127.0.0.1, 2013-10-24 13:17:46, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000984
127.0.0.1, 2013-10-24 13:17:46, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000625
127.0.0.1, 2013-10-24 13:17:46, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000321
127.0.0.1, 2013-10-24 13:17:48, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000716
127.0.0.1, 2013-10-24 13:17:48, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2013-10-24 13:17:48, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000483
127.0.0.1, 2013-10-24 13:17:51, GET, /admin/default/index, HTTP/1.1, 200, 0.841008
127.0.0.1, 2013-10-24 13:17:51, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000285
127.0.0.1, 2013-10-24 13:17:51, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2013-10-24 13:17:51, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001318
127.0.0.1, 2013-10-24 13:17:51, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001183
127.0.0.1, 2013-10-24 13:17:51, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000759
127.0.0.1, 2013-10-24 13:17:51, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001283
127.0.0.1, 2013-10-24 13:17:52, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000485
127.0.0.1, 2013-10-24 13:17:52, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000318
127.0.0.1, 2013-10-24 13:17:52, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000495
127.0.0.1, 2013-10-24 13:17:52, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000365
127.0.0.1, 2013-10-24 13:17:52, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000352
127.0.0.1, 2013-10-24 13:17:52, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000741
127.0.0.1, 2013-10-24 13:17:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2013-10-24 13:17:54, POST, /admin/default/index, HTTP/1.1, 200, 0.049056
127.0.0.1, 2013-10-24 13:17:54, POST, /admin/default/index, HTTP/1.1, 303, 0.082641
127.0.0.1, 2013-10-24 13:17:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2013-10-24 13:17:58, POST, /admin/default/index, HTTP/1.1, 303, 0.003713
127.0.0.1, 2013-10-24 13:17:58, GET, /admin/default/site, HTTP/1.1, 200, 0.229600
127.0.0.1, 2013-10-24 13:17:58, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000819
127.0.0.1, 2013-10-24 13:17:58, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2013-10-24 13:17:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.463206
127.0.0.1, 2013-10-24 13:17:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2013-10-24 13:17:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2013-10-24 13:17:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000154
127.0.0.1, 2013-10-24 13:18:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
127.0.0.1, 2013-10-24 13:18:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2013-10-24 13:18:03, GET, /qastack/default/index, HTTP/1.1, 303, 2.719640
