127.0.0.1, 2013-11-18 08:01:44, POST, /qastack/admin/edit_user/1, HTTP/1.1, 303, 0.114355
127.0.0.1, 2013-11-18 08:01:44, GET, /qastack/admin/edit_user/1, HTTP/1.1, 200, 0.038947
127.0.0.1, 2013-11-18 08:01:51, GET, /qastack/admin/index, HTTP/1.1, 200, 0.032923
127.0.0.1, 2013-11-18 08:02:02, GET, /qastack/default/index, HTTP/1.1, 200, 0.020574
127.0.0.1, 2013-11-19 05:10:36, GET, /, HTTP/1.1, 303, 0.001213
127.0.0.1, 2013-11-19 05:10:38, GET, /welcome/default/index, HTTP/1.1, 200, 2.085430
127.0.0.1, 2013-11-19 05:10:39, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.066689
127.0.0.1, 2013-11-19 05:10:39, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000420
127.0.0.1, 2013-11-19 05:10:39, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000270
127.0.0.1, 2013-11-19 05:10:39, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000291
127.0.0.1, 2013-11-19 05:10:39, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.053835
127.0.0.1, 2013-11-19 05:10:39, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000273
127.0.0.1, 2013-11-19 05:10:39, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000279
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000259
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000912
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000631
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000253
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000240
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.011190
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001884
127.0.0.1, 2013-11-19 05:10:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001605
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/default/index, HTTP/1.1, 200, 1.643634
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.071233
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.026192
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.037145
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 304, 0.000188
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.074547
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000364
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000349
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.007803
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.007520
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000275
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000364
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000334
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000284
127.0.0.1, 2013-11-19 05:10:46, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.033027
127.0.0.1, 2013-11-19 05:10:54, GET, /admin/default/index, HTTP/1.1, 200, 0.023428
127.0.0.1, 2013-11-19 05:11:01, POST, /admin/default/index, HTTP/1.1, 303, 0.047435
127.0.0.1, 2013-11-19 05:11:01, GET, /admin/default/site, HTTP/1.1, 200, 0.043917
127.0.0.1, 2013-11-19 05:11:02, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000295
127.0.0.1, 2013-11-19 05:11:02, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 304, 0.000418
127.0.0.1, 2013-11-19 05:11:02, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2013-11-19 05:11:02, POST, /admin/default/check_version, HTTP/1.1, 200, 0.549800
127.0.0.1, 2013-11-19 05:11:05, GET, /admin/default/design/qastack, HTTP/1.1, 200, 0.304308
127.0.0.1, 2013-11-19 05:11:05, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000260
